date,amount,description
13-12-2025,"? 8,766",IMPS - IMPS transfer ONLINE/TP8ZMH
07-03-2025,"3,253 INR",INDIGO - IndiGo flight Payment CDV84Q
16-01-2025,"6,440",NEFT - NEFT transfer ONLINE/ODU5V0
04-05-2025,"? 8,465",MAKEMYTRIP - MakeMyTrip booking BLR
19-03-2025,"? 4,959",FLIPKART - Flipkart office supplies DEL
14-10-2025,"1,150 INR",WATER - Water bill AHM
14-01-2025,? 500,FREELANCER - Freelance services UPI/IU6O36
16-07-2025,"2,152 INR",AIRTEL - Airtel broadband bill ONLINE/AEX7Z8
16-08-2025,"? 2,215",RELIANCE FRESH - Reliance Fresh groceries BLR
26-08-2025,"1,076.15",BIGBASKET - BigBasket groceries
08-05-2025,"2,072 INR",MICROSOFT - Microsoft 365 AHM
24-12-2025,"8,010 INR",MAKEMYTRIP - MakeMyTrip booking AHM
29-06-2025,"? 10,991",VISTARA - Vistara flight ONLINE/N77VZR
29-11-2025,"? 1,688",GAS - Gas bill Payment DO20MI
09-04-2025,"6,055 INR",MAKEMYTRIP - MakeMyTrip booking UPI/BOVLKV
19-09-2025,"1,200",GOIBIBO - Goibibo booking UPI/J9LWSM
18-01-2025,211 INR,SLACK - Slack subscription AHM
24-08-2025,143.36,ZOMATO - Zomato food order
22-11-2025,118 INR,HDFC - HDFC bank charge POS/FA3ORB
19-10-2025,"? 1,934",NEFT - NEFT transfer BLR
30-12-2025,"? 2,001",MAKEMYTRIP - MakeMyTrip booking Ref THB7Y4YNUC
09-07-2025,? 147,OLA - Ola ride BLR
14-05-2025,"? 1,085.92",ATLASSIAN - Atlassian Jira POS/ZOLAIV
15-11-2025,75 INR,SBI - SBI service charge DEL
27-08-2025,117,ZOMATO - Zomato food order ONLINE/T6XWQM
05-01-2025,"1,603",WATER - Water bill
16-03-2025,"16,881",GOOGLE CLOUD - Google Cloud billing ONLINE/0978YF
27-10-2025,"2,961",LEGAL - Legal services Payment ZNZX0Q
26-12-2025,"1,721",RELIANCE FRESH - Reliance Fresh groceries AHM
10-11-2025,"1,534",IRCTC - IRCTC train booking UPI/ZEEDV6
24-10-2025,"? 1,386",RELIANCE FRESH - Reliance Fresh groceries
02-06-2025,? 800,NOTION - Notion subscription Payment 8IRGHK
20-10-2025,"6,606 INR",NEFT - NEFT transfer MUM
16-01-2025,626 INR,SLACK - Slack subscription DEL
03-05-2025,"? 2,013",MICROSOFT - Microsoft 365 DEL
21-01-2025,? 259,OLA - Ola ride Payment RZO0LP
27-10-2025,822,ATLASSIAN - Atlassian Jira POS/A9I8L4
15-04-2025,133,SBI - SBI service charge Ref GGIGI3YCYI
14-05-2025,680,GITHUB - GitHub subscription Txn A94EH8QJXFUE
27-07-2025,"2,543 INR",WATER - Water bill Ref EN0MMKNBQM
28-12-2025,"3,921.53",LEGAL - Legal services
07-12-2025,"? 10,202.43",GOOGLE CLOUD - Google Cloud billing AHM
19-04-2025,"? 8,549.24",GOOGLE ADS - Google ads spend
16-04-2025,"? 9,140",LEGAL - Legal services BLR
20-02-2025,? 991.58,ATLASSIAN - Atlassian Jira ONLINE/Q4B2RE
13-08-2025,? 150,FLIPKART - Flipkart office supplies Payment 1LQ4JK
14-03-2025,311 INR,OLA - Ola ride ONLINE/CL82WB
02-12-2025,"2,117",GAS - Gas bill DEL
07-12-2025,"8,220",AWS - AWS cloud charges MUM
08-09-2025,65,SBI - SBI service charge
19-05-2025,"4,655 INR",AWS - AWS cloud charges UPI/WHL1WC
25-08-2025,"15,883 INR",FREELANCER - Freelance services POS/QQU66S
15-07-2025,758,SPOTIFY - Spotify subscription MUM
01-07-2025,748.18,GITHUB - GitHub subscription Payment JR8XBF
05-09-2025,174,HDFC - HDFC bank charge POS/P9LDTP
21-01-2025,? 571,GOOGLE CLOUD - Google Cloud billing Payment 237GGA
19-03-2025,404.06,SWIGGY - Swiggy food order BLR
23-08-2025,"1,156 INR",RELIANCE FRESH - Reliance Fresh groceries
12-03-2025,452,NETFLIX - Netflix subscription Ref 7EPNEHW4G3
05-07-2025,708.41,BIGBASKET - BigBasket groceries Payment LO0S3K
08-04-2025,"1,935 INR",ZOOM - Zoom subscription POS/GVPURO
29-08-2025,212,NETFLIX - Netflix subscription AHM
05-08-2025,"2,781 INR",JIO - Jio fiber bill
16-11-2025,"? 2,330",NOTION - Notion subscription Ref C6JPNI2KM2
30-07-2025,859 INR,WATER - Water bill ONLINE/8CJD2L
18-01-2025,50 INR,NEFT - NEFT transfer
17-10-2025,150,IRCTC - IRCTC train booking MUM
11-02-2025,"13,917 INR",VISTARA - Vistara flight AHM
05-11-2025,"? 2,116",ELECTRICITY - Electricity bill
31-01-2025,? 605,IRCTC - IRCTC train booking Txn DO8HWPG44YZV
14-12-2025,641,KFC - KFC meal DEL
13-06-2025,"5,555 INR",GOOGLE CLOUD - Google Cloud billing POS/2I9MG9
08-01-2025,? 159,UBER - Uber trip DEL
11-04-2025,? 33,HDFC - HDFC bank charge ONLINE/W7WROA
14-04-2025,"2,572.15",GAS - Gas bill DEL
28-03-2025,"7,289",VISTARA - Vistara flight Payment Z56TN9
07-12-2025,? 372.37,JIO - Jio fiber bill Payment 53OMAR
06-07-2025,"1,188 INR",MICROSOFT - Microsoft 365 BLR
23-10-2025,"? 19,030",IMPS - IMPS transfer DEL
17-07-2025,536,LEGAL - Legal services Txn JHZ7WBIH6ZR6
11-06-2025,? 604,NOTION - Notion subscription Txn 032S9H2TFEYI
26-05-2025,867 INR,MICROSOFT - Microsoft 365 Ref 0LC8TEIVA0
19-07-2025,? 292,STARBUCKS - Starbucks coffee MUM
14-08-2025,"? 5,476.73",VISTARA - Vistara flight Ref QFR9BVQIUO
28-06-2025,? 549.20,NETFLIX - Netflix subscription Payment J44UKI
16-01-2025,695,ZOMATO - Zomato food order Payment 4R38O1
02-05-2025,426,KFC - KFC meal DEL
27-10-2025,798,ZOOM - Zoom subscription Txn DIPHIUP1G6V6
06-05-2025,200,BIGBASKET - BigBasket groceries Ref 7HZ301DFUL
01-12-2025,99,OLA - Ola ride
14-06-2025,"2,106.54",ELECTRICITY - Electricity bill BLR
03-11-2025,"? 4,993",FREELANCER - Freelance services BLR
12-09-2025,"? 1,683",MICROSOFT - Microsoft 365
26-01-2025,"? 1,193",FLIPKART - Flipkart office supplies Txn TTBHDMZLRRY7
25-12-2025,334 INR,NOTION - Notion subscription
15-02-2025,71,OLA - Ola ride DEL
20-12-2025,"1,633.14",JIO - Jio fiber bill Ref VCGPENU811
03-10-2025,"1,576.17",FLIPKART - Flipkart office supplies DEL
23-09-2025,"? 3,053",CA CONSULT - CA consultation Txn GOBSUVBYIHX4
30-11-2025,"3,003 INR",WATER - Water bill POS/2Z8RJC
11-03-2025,285 INR,HDFC - HDFC bank charge BLR
14-10-2025,"? 1,311",GAS - Gas bill UPI/VRSVNT
28-09-2025,"? 7,891",NEFT - NEFT transfer Payment 85IKP8
15-12-2025,"6,879 INR",INDIGO - IndiGo flight Payment FU7EUT
20-12-2025,"1,256",MICROSOFT - Microsoft 365
24-02-2025,"2,199",FLIPKART - Flipkart office supplies POS/EWE0PX
22-08-2025,452,ZOMATO - Zomato food order POS/3XQG4D
08-11-2025,208,SBI - SBI service charge
13-01-2025,"2,157 INR",WATER - Water bill DEL
12-04-2025,"20,208 INR",META ADS - Meta ads spend ONLINE/R42MM0
26-08-2025,"10,506.08",AWS - AWS cloud charges UPI/M8O8ZS
18-05-2025,"6,460",UPI - UPI transfer Payment ZOTZEA
15-05-2025,826,RELIANCE FRESH - Reliance Fresh groceries Txn Q68H6DCWB3EV
30-01-2025,? 150,AMAZON - Amazon office supplies DEL
05-04-2025,10.28 INR,HDFC - HDFC bank charge DEL
08-10-2025,749,DMART - DMart groceries Txn HBMNMJLJUNCD
03-07-2025,"5,805",VISTARA - Vistara flight UPI/CI0BSF
12-09-2025,? 72,HDFC - HDFC bank charge Txn YJWXIENA2F2S
18-08-2025,? 200,DMART - DMart groceries
18-10-2025,"1,371 INR",RELIANCE FRESH - Reliance Fresh groceries DEL
02-04-2025,500,LEGAL - Legal services
15-01-2025,"2,146.60",ELECTRICITY - Electricity bill Txn HS8Q7V1PTCM6
24-02-2025,"1,559 INR",DMART - DMart groceries Ref IXJCI0DZDA
25-09-2025,? 555,DOMINOS - Dominos pizza UPI/T6X57L
10-11-2025,"? 1,374",SLACK - Slack subscription POS/BOEKMV
16-03-2025,"5,465.68",META ADS - Meta ads spend AHM
05-04-2025,"8,735.79",LEGAL - Legal services ONLINE/N0TTES
17-08-2025,"? 2,427",META ADS - Meta ads spend Txn QE4VQJ6FTMCQ
24-05-2025,663 INR,SPOTIFY - Spotify subscription DEL
18-12-2025,"15,934",GOOGLE CLOUD - Google Cloud billing Txn AZ4WAAMN6FEB
01-06-2025,"1,395",JIO - Jio fiber bill AHM
23-05-2025,"3,712",AWS - AWS cloud charges Ref GVDGUP4AQ0
25-07-2025,"4,628",FREELANCER - Freelance services POS/JVWBSZ
20-05-2025,"2,544",ADOBE - Adobe subscription UPI/FI5ARK
22-10-2025,204,OLA - Ola ride AHM
04-01-2025,"? 2,127",GITHUB - GitHub subscription DEL
16-07-2025,"? 18,088.12",MAKEMYTRIP - MakeMyTrip booking DEL
09-03-2025,? 200,ATLASSIAN - Atlassian Jira UPI/FWO3LF
30-11-2025,401.23,ZOOM - Zoom subscription UPI/YM5QOU
01-07-2025,"2,931",AIRTEL - Airtel broadband bill Ref 9FA1WQUQ1X
03-11-2025,"3,402 INR",MAKEMYTRIP - MakeMyTrip booking BLR
03-01-2025,"8,094.85 INR",VISTARA - Vistara flight AHM
17-09-2025,66 INR,SBI - SBI service charge UPI/V0UPHO
05-09-2025,"? 13,488",NEFT - NEFT transfer Payment V770G9
24-10-2025,"? 17,209.50",GOOGLE ADS - Google ads spend ONLINE/VZGYDD
13-03-2025,"? 2,581",GOOGLE CLOUD - Google Cloud billing MUM
13-10-2025,50,IMPS - IMPS transfer Ref AAS0XXHCJB
31-12-2025,"6,203 INR",FREELANCER - Freelance services BLR
24-06-2025,"3,497",JIO - Jio fiber bill Txn 0IRYWKCIAI37
04-12-2025,310,NETFLIX - Netflix subscription DEL
01-12-2025,? 278.33,SPOTIFY - Spotify subscription MUM
22-05-2025,? 405,SPOTIFY - Spotify subscription AHM
03-07-2025,500 INR,FREELANCER - Freelance services DEL
19-04-2025,"1,712",ELECTRICITY - Electricity bill UPI/JAN5JK
02-01-2025,742,MICROSOFT - Microsoft 365 UPI/MG6ZJO
29-09-2025,165,UBER - Uber trip BLR
04-08-2025,"5,791",AMAZON - Amazon office supplies BLR
23-11-2025,"? 6,391",GOIBIBO - Goibibo booking UPI/5DJURP
16-06-2025,"2,461.94 INR",NOTION - Notion subscription DEL
16-05-2025,"? 10,373",LEGAL - Legal services UPI/Q8K30F
12-09-2025,"11,176",LEGAL - Legal services Ref DMD3KR96HR
16-12-2025,988.78 INR,KFC - KFC meal DEL
24-07-2025,"9,053",LEGAL - Legal services Payment SSWTGI
27-12-2025,"2,358.50",JIO - Jio fiber bill Ref O0KE8741U1
18-11-2025,"2,711",BIGBASKET - BigBasket groceries
21-09-2025,"? 2,538",AIRTEL - Airtel broadband bill Payment IZZ9I3
04-03-2025,"2,090",RELIANCE FRESH - Reliance Fresh groceries Ref 3D4Y0HZFDS
18-06-2025,"3,069.52",VISTARA - Vistara flight Payment NHWQY9
27-11-2025,"11,479 INR",AWS - AWS cloud charges ONLINE/809XRX
02-12-2025,"? 3,140",MICROSOFT - Microsoft 365 MUM
08-06-2025,"? 1,669",VISTARA - Vistara flight BLR
26-07-2025,? 879,DMART - DMart groceries DEL
01-06-2025,? 743.93,AMAZON - Amazon office supplies POS/02FUPH
07-10-2025,"3,443",META ADS - Meta ads spend BLR
21-09-2025,50,UBER - Uber trip Txn RRV4VCG93KRV
12-10-2025,"10,698",GOOGLE CLOUD - Google Cloud billing AHM
20-04-2025,? 781,ATLASSIAN - Atlassian Jira
09-04-2025,"1,366.80",WATER - Water bill ONLINE/ERZ51R
17-02-2025,"? 1,147",NOTION - Notion subscription POS/FLFB1V
06-12-2025,50 INR,NEFT - NEFT transfer Ref YT63WUKPW9
15-07-2025,200,GAS - Gas bill Ref ST66XZV3BW
05-02-2025,"? 2,992",NOTION - Notion subscription Txn MVAKUNZ1ANR2
05-08-2025,695 INR,ELECTRICITY - Electricity bill Ref DL3HY4SKIH
07-06-2025,"5,144",LEGAL - Legal services Txn ZZUX8OPE1OSW
07-12-2025,"1,929",JIO - Jio fiber bill DEL
20-08-2025,? 346.01,KFC - KFC meal UPI/BJZAN0
28-03-2025,"5,948",VISTARA - Vistara flight POS/J34CC6
11-06-2025,? 651.61,KFC - KFC meal AHM
09-04-2025,? 388.38,DOMINOS - Dominos pizza Txn HF55ZUTSGK0U
08-07-2025,? 414,NETFLIX - Netflix subscription Ref IMSLC45EPX
27-04-2025,104,STARBUCKS - Starbucks coffee POS/F1Q9F2
14-08-2025,"3,537",WATER - Water bill UPI/CV8664
23-05-2025,50 INR,UPI - UPI transfer BLR
07-05-2025,50,IMPS - IMPS transfer AHM
29-01-2025,? 167,OLA - Ola ride Txn 9YFUHW2PMR63
20-12-2025,"? 1,638",WATER - Water bill POS/Q3SGP4
15-12-2025,"? 2,087",RELIANCE FRESH - Reliance Fresh groceries UPI/RTS5SC
15-02-2025,? 218,NETFLIX - Netflix subscription Ref 7PA51PYNNT
10-07-2025,"1,962 INR",META ADS - Meta ads spend MUM
30-10-2025,"3,811",MAKEMYTRIP - MakeMyTrip booking UPI/2SQ2O1
03-03-2025,"? 2,117",AMAZON - Amazon office supplies
01-12-2025,"12,914 INR",META ADS - Meta ads spend ONLINE/MI3MB9
24-06-2025,"? 28,387",UPI - UPI transfer Payment GDCD62
11-10-2025,? 502,KFC - KFC meal Ref RBX8MGSR35
12-02-2025,797,NOTION - Notion subscription POS/66IUNL
23-03-2025,"3,345",NOTION - Notion subscription POS/SKZQRX
31-03-2025,"? 11,976",LEGAL - Legal services ONLINE/E9X4D7
17-07-2025,? 711,ZOMATO - Zomato food order Ref 7YO2ONALVJ
25-02-2025,"? 4,890",AWS - AWS cloud charges UPI/XBWPKR
19-01-2025,"6,876",INDIGO - IndiGo flight BLR
13-03-2025,136.66 INR,DOMINOS - Dominos pizza Txn 231PEIV7HW0U
30-03-2025,80,ZOMATO - Zomato food order
07-01-2025,"? 2,074",SLACK - Slack subscription MUM
30-10-2025,416 INR,NETFLIX - Netflix subscription
24-06-2025,207,OLA - Ola ride Ref UKBVV546VV
28-08-2025,579,DOMINOS - Dominos pizza Txn ZYJ1CNINBO9T
15-11-2025,292,UBER - Uber trip Payment PNZDOU
22-08-2025,390,SPOTIFY - Spotify subscription Payment L8TUR5
24-01-2025,"1,445 INR",DMART - DMart groceries BLR
16-07-2025,296,NETFLIX - Netflix subscription UPI/FR0ZAV
30-08-2025,417 INR,ZOMATO - Zomato food order
09-12-2025,? 188,IRCTC - IRCTC train booking UPI/XZXESP
24-05-2025,"2,004",GITHUB - GitHub subscription Ref AL3EX73VRW
05-11-2025,"? 19,541",META ADS - Meta ads spend ONLINE/G7SW1K
04-09-2025,? 200,BIGBASKET - BigBasket groceries ONLINE/3KCL34
09-06-2025,"? 3,921.86",AMAZON - Amazon office supplies ONLINE/K4MIYY
15-06-2025,? 256,OLA - Ola ride ONLINE/4KO41X
06-04-2025,"? 22,072",AWS - AWS cloud charges Payment PU61K4
04-12-2025,986 INR,GOOGLE CLOUD - Google Cloud billing ONLINE/7X4B3V
02-09-2025,"1,282",ADOBE - Adobe subscription UPI/SUYJQO
29-03-2025,"7,904",LEGAL - Legal services POS/MXDY6E
28-04-2025,"17,915",VISTARA - Vistara flight AHM
03-07-2025,"1,496",DMART - DMart groceries ONLINE/8OY31S
30-07-2025,"? 1,965",ZOOM - Zoom subscription Txn 5078U4DXWNSB
01-05-2025,275 INR,ATLASSIAN - Atlassian Jira Ref LJL4QQ9C1D
05-04-2025,"2,580",AMAZON - Amazon office supplies POS/W7RIUT
25-08-2025,"? 8,363",AWS - AWS cloud charges MUM
26-09-2025,? 172,HDFC - HDFC bank charge Txn OXPP0DD9BSLR
03-05-2025,"? 1,302",DMART - DMart groceries BLR
14-02-2025,225,KFC - KFC meal POS/FKSVB1
15-02-2025,161 INR,DOMINOS - Dominos pizza Ref PGI3AIXTEV
19-12-2025,? 678,NOTION - Notion subscription Txn XJ1JOZ2OP9DX
04-12-2025,486,SPOTIFY - Spotify subscription ONLINE/8HFA78
09-11-2025,397,SLACK - Slack subscription AHM
09-01-2025,? 148.82,ZOMATO - Zomato food order BLR
19-10-2025,"2,897 INR",GAS - Gas bill Payment X6JWH0
22-03-2025,? 150,FLIPKART - Flipkart office supplies Txn WLBSJ92K0MG7
23-12-2025,"3,512.54 INR",IMPS - IMPS transfer UPI/MRTNBY
29-06-2025,"8,325 INR",GOOGLE CLOUD - Google Cloud billing Payment TB12RF
06-06-2025,? 698,DMART - DMart groceries Ref 2SGBWC6OMA
01-12-2025,"2,221",MICROSOFT - Microsoft 365 MUM
20-11-2025,? 50,IMPS - IMPS transfer BLR
01-06-2025,"2,110",SLACK - Slack subscription BLR
14-06-2025,? 114.88,HDFC - HDFC bank charge BLR
03-06-2025,? 916,WATER - Water bill
16-10-2025,696,SWIGGY - Swiggy food order Payment 4HOR5N
16-03-2025,"? 1,537",IRCTC - IRCTC train booking DEL
26-10-2025,"1,257",AMAZON - Amazon office supplies UPI/GAHVZE
08-01-2025,? 378,KFC - KFC meal ONLINE/TTAQPY
08-11-2025,562 INR,DOMINOS - Dominos pizza Payment P2994G
25-06-2025,"2,621.46",NOTION - Notion subscription BLR
21-05-2025,"1,331",ZOOM - Zoom subscription DEL
07-10-2025,"1,772",AMAZON - Amazon office supplies AHM
14-02-2025,"? 15,050",GOIBIBO - Goibibo booking Txn 5R1HBFYZ69Y0
22-10-2025,251.75,FLIPKART - Flipkart office supplies Ref O77EJTARGP
03-01-2025,"? 6,444",VISTARA - Vistara flight Payment MTQSJD
27-03-2025,? 133.73,KFC - KFC meal AHM
03-10-2025,150,AMAZON - Amazon office supplies DEL
19-11-2025,"? 1,669",ADOBE - Adobe subscription Txn JWVWLAMX04A2
24-11-2025,? 180,KFC - KFC meal AHM
20-12-2025,? 50,NEFT - NEFT transfer Txn A1TQFS51Y4D5
01-09-2025,"12,361",GOOGLE CLOUD - Google Cloud billing POS/NB57YS
28-12-2025,"? 9,999",IMPS - Repeated transfer batch 8 UPI/6QCONP
27-06-2025,"? 2,078",MICROSOFT - Microsoft 365 BLR
20-03-2025,? 560,ELECTRICITY - Electricity bill
29-06-2025,"? 3,023",AIRTEL - Airtel broadband bill UPI/T1YJAI
13-06-2025,"3,808",FLIPKART - Flipkart office supplies ONLINE/4R4CKZ
03-03-2025,"3,727.46 INR",FLIPKART - Flipkart office supplies BLR
23-09-2025,"? 1,543",MICROSOFT - Microsoft 365
20-03-2025,408,IRCTC - IRCTC train booking UPI/SGYZRC
21-09-2025,"1,183",ADOBE - Adobe subscription
21-08-2025,148,STARBUCKS - Starbucks coffee Txn FGJPL04OJXEE
17-05-2025,? 486,STARBUCKS - Starbucks coffee POS/G4V93Z
07-01-2025,"1,769",MICROSOFT - Microsoft 365 Ref 12Y755ZE1A
22-01-2025,"3,089 INR",ELECTRICITY - Electricity bill Txn LVHTQJO9HMOL
05-08-2025,? 777.92,DMART - DMart groceries Payment FZ9078
01-04-2025,"? 26,054",META ADS - Meta ads spend Payment HFUBY1
16-07-2025,"1,780",SLACK - Slack subscription POS/UI78U5
14-07-2025,"6,662.53",VISTARA - Vistara flight POS/LKL26I
19-10-2025,"? 8,838",CA CONSULT - CA consultation Txn WTIEGV22H6I1
21-09-2025,500 INR,CA CONSULT - CA consultation BLR
09-03-2025,193,ZOMATO - Zomato food order Txn BCU5FYH2ZF4L
16-10-2025,72 INR,OLA - Ola ride Ref ZTOSD2RTLQ
09-03-2025,? 50,NEFT - NEFT transfer Txn NJ5ZR8CQ4RUH
28-01-2025,"? 10,107.39",MAKEMYTRIP - MakeMyTrip booking DEL
10-01-2025,? 50,OLA - Ola ride UPI/JYCH98
06-10-2025,"1,148",ATLASSIAN - Atlassian Jira Ref NOS1FVKT71
21-03-2025,"7,019 INR",AWS - AWS cloud charges Payment ZOWREK
25-04-2025,859.43,MICROSOFT - Microsoft 365 Ref 2ZP78WNQ3M
18-06-2025,109 INR,UBER - Uber trip Payment EM764K
02-04-2025,423 INR,NETFLIX - Netflix subscription
02-01-2025,"1,975",WATER - Water bill
08-10-2025,? 255,HDFC - HDFC bank charge UPI/F235J4
10-11-2025,? 336,DOMINOS - Dominos pizza AHM
28-11-2025,"7,092 INR",VISTARA - Vistara flight DEL
09-06-2025,429,SWIGGY - Swiggy food order ONLINE/SX09JZ
07-04-2025,"15,248 INR",CA CONSULT - CA consultation UPI/7U0R4N
13-12-2025,"2,543",MICROSOFT - Microsoft 365 MUM
10-08-2025,"6,731",GOOGLE ADS - Google ads spend Payment A1DN9D
09-07-2025,688,WATER - Water bill Txn Q9OCV40DH2KG
07-07-2025,313,UBER - Uber trip Payment BSAYTV
28-06-2025,50,NEFT - NEFT transfer MUM
28-01-2025,873,RELIANCE FRESH - Reliance Fresh groceries ONLINE/BARKLY
26-09-2025,572,SWIGGY - Swiggy food order MUM
12-01-2025,"? 1,426",FREELANCER - Freelance services UPI/PL9NCM
07-08-2025,"1,097",ELECTRICITY - Electricity bill POS/O48YSO
11-07-2025,245,ATLASSIAN - Atlassian Jira POS/I4WLCK
07-12-2025,"6,385",UPI - UPI transfer AHM
27-09-2025,"3,091",ELECTRICITY - Electricity bill BLR
20-08-2025,"? 15,113",AWS - AWS cloud charges UPI/71H3BG
08-08-2025,"2,447",AMAZON - Amazon office supplies ONLINE/WHLMZ3
07-04-2025,"3,866",AMAZON - Amazon office supplies MUM
05-05-2025,"2,044",SLACK - Slack subscription Txn IJGTWNA1IW3W
02-01-2025,? 295,GAS - Gas bill UPI/6U37LP
16-08-2025,"9,161",AWS - AWS cloud charges MUM
08-04-2025,"? 1,185",RELIANCE FRESH - Reliance Fresh groceries UPI/WH11PJ
26-05-2025,"1,475",FLIPKART - Flipkart office supplies ONLINE/U4GUY2
07-07-2025,"1,341.82",BIGBASKET - BigBasket groceries Txn FOUW7CDBAMBU
31-12-2025,? 612,WATER - Water bill DEL
16-04-2025,? 91,HDFC - HDFC bank charge Payment N3SSZI
17-04-2025,? 92,OLA - Ola ride BLR
25-09-2025,475 INR,NETFLIX - Netflix subscription DEL
09-05-2025,275 INR,OLA - Ola ride UPI/1QEVVX
23-04-2025,"? 13,119",AWS - AWS cloud charges
21-02-2025,"? 1,380.89",ELECTRICITY - Electricity bill Ref 6WB9QKMJQV
19-06-2025,"? 9,325.50",MAKEMYTRIP - MakeMyTrip booking MUM
09-12-2025,? 50,IMPS - IMPS transfer MUM
23-09-2025,"? 8,750",FLIPKART - Flipkart office supplies POS/NE1D7K
21-12-2025,"? 5,797.98",LEGAL - Legal services DEL
21-05-2025,"2,670",ATLASSIAN - Atlassian Jira UPI/S15UP3
02-03-2025,"1,259",DMART - DMart groceries DEL
12-05-2025,"2,411",VISTARA - Vistara flight Payment 1NSEOI
28-10-2025,500,LEGAL - Legal services
08-10-2025,"? 18,404",GOOGLE ADS - Google ads spend
02-07-2025,? 125,SBI - SBI service charge UPI/0BE4R0
17-08-2025,"? 11,810",META ADS - Meta ads spend BLR
02-08-2025,876,JIO - Jio fiber bill AHM
16-03-2025,? 156,ICICI - ICICI bank fee Ref PI4X0N3G90
11-12-2025,"? 7,524",INDIGO - IndiGo flight AHM
22-05-2025,968,RELIANCE FRESH - Reliance Fresh groceries
06-09-2025,"2,239",BIGBASKET - BigBasket groceries Payment NNTFS0
02-01-2025,"? 2,688",UPI - UPI transfer UPI/AU2TJ6
23-05-2025,"1,587.39",ZOOM - Zoom subscription Payment RP7HP0
05-10-2025,391 INR,SPOTIFY - Spotify subscription Txn IWBS9R9TNMJ1
30-03-2025,? 150,AMAZON - Amazon office supplies BLR
14-11-2025,672.89,AMAZON - Amazon office supplies
07-03-2025,"? 2,638",GAS - Gas bill DEL
18-03-2025,"? 14,403",GOOGLE ADS - Google ads spend UPI/NS80EZ
05-05-2025,"? 1,628",FLIPKART - Flipkart office supplies Ref FVXHEIKX7Z
14-06-2025,500,FREELANCER - Freelance services
02-03-2025,"2,091",FLIPKART - Flipkart office supplies Txn DRGL5GB4E9GU
08-12-2025,"2,429",AIRTEL - Airtel broadband bill AHM
27-04-2025,"? 3,673",VISTARA - Vistara flight Txn PQQRKVFCORRG
07-06-2025,"? 1,011",BIGBASKET - BigBasket groceries POS/FN6YX0
26-08-2025,"? 7,945",UPI - UPI transfer Payment AUIEVF
06-07-2025,"6,669",AWS - AWS cloud charges AHM
23-12-2025,10,HDFC - HDFC bank charge
15-02-2025,80 INR,KFC - KFC meal MUM
25-07-2025,"1,849.70",NOTION - Notion subscription UPI/JG1EQA
19-08-2025,366,STARBUCKS - Starbucks coffee AHM
24-02-2025,692,AIRTEL - Airtel broadband bill Txn CZSVDCW79SA8
30-01-2025,? 703,AIRTEL - Airtel broadband bill POS/0PM93S
22-09-2025,200,DMART - DMart groceries ONLINE/L7H5RL
16-06-2025,"8,109 INR",IMPS - IMPS transfer ONLINE/6L07RW
09-10-2025,597 INR,STARBUCKS - Starbucks coffee Ref Q07FBTS2WF
24-06-2025,"? 8,322",MAKEMYTRIP - MakeMyTrip booking Txn 0NTKTZZOX3RR
30-07-2025,116,SWIGGY - Swiggy food order AHM
16-09-2025,"? 15,777",META ADS - Meta ads spend DEL
29-11-2025,"11,272 INR",META ADS - Meta ads spend DEL
09-10-2025,"1,584 INR",NOTION - Notion subscription
16-08-2025,311 INR,NETFLIX - Netflix subscription Txn YJPDD7BO5OA0
10-06-2025,"? 1,762",ADOBE - Adobe subscription POS/QDU6EP
31-05-2025,"5,648 INR",GOOGLE CLOUD - Google Cloud billing ONLINE/DW77E6
20-12-2025,"? 1,531",GITHUB - GitHub subscription DEL
15-06-2025,? 260,HDFC - HDFC bank charge MUM
10-10-2025,"5,103",FLIPKART - Flipkart office supplies POS/M36SID
02-01-2025,"? 13,085",AWS - AWS cloud charges
07-12-2025,"? 13,355",MAKEMYTRIP - MakeMyTrip booking
05-12-2025,? 691,ZOMATO - Zomato food order ONLINE/ZU47XI
03-09-2025,"9,129.47 INR",GOIBIBO - Goibibo booking DEL
27-07-2025,200 INR,BIGBASKET - BigBasket groceries BLR
17-05-2025,? 204,OLA - Ola ride Payment 217M9Y
08-02-2025,"1,645",AMAZON - Amazon office supplies MUM
18-01-2025,575,KFC - KFC meal ONLINE/9P1P7B
31-12-2025,"1,694 INR",JIO - Jio fiber bill AHM
04-05-2025,"3,277.86 INR",GITHUB - GitHub subscription BLR
22-09-2025,"1,631",ZOOM - Zoom subscription Ref QAN5GMUGXF
22-03-2025,"6,774",VISTARA - Vistara flight AHM
29-11-2025,"5,169",CA CONSULT - CA consultation Ref XCCR466BTG
14-04-2025,? 283,ATLASSIAN - Atlassian Jira POS/6K2MVN
15-02-2025,"1,101",NOTION - Notion subscription Ref 1HHT92KZ86
23-08-2025,"? 5,809",INDIGO - IndiGo flight ONLINE/AOLN7V
20-04-2025,255,NETFLIX - Netflix subscription
12-11-2025,"2,629 INR",SLACK - Slack subscription
13-02-2025,? 214,IRCTC - IRCTC train booking MUM
24-12-2025,"? 10,833",IMPS - IMPS transfer Ref XZPMMI0L28
21-11-2025,"2,472.29 INR",SLACK - Slack subscription AHM
15-03-2025,"27,871",GOOGLE ADS - Google ads spend DEL
11-06-2025,? 153,UBER - Uber trip UPI/QQM80D
18-04-2025,? 415,SPOTIFY - Spotify subscription Ref 2V0VSJFD53
