date,amount,description
2025-08-17,"₹8,102",INDIGO - IndiGo flight UPI/IVHXLW
2025-11-19,₹865,IRCTC - IRCTC train booking BLR
2025-12-03,₹320,OLA - Ola ride Payment 6GKTUF
2025-08-02,"1,538",AIRTEL - Airtel broadband bill DEL
2025-09-08,"2,101 INR",BIGBASKET - BigBasket groceries Ref YIWBY2VG6C
2025-09-27,₹237.60,KFC - KFC meal ONLINE/0YS1SB
2025-03-24,"11,849.21",AWS - AWS cloud charges MUM
2025-08-03,150,FLIPKART - Flipkart office supplies POS/0E4QU8
2025-07-25,"1,801 INR",UPI - UPI transfer MUM
2025-05-07,₹150,FLIPKART - Flipkart office supplies BLR
2025-08-02,"₹1,759.92",MICROSOFT - Microsoft 365 Txn KEXNBTBCGTIJ
2025-03-05,"1,307.56",SLACK - Slack subscription UPI/J2Q8D5
2025-12-30,"₹1,182",BIGBASKET - BigBasket groceries ONLINE/P3T53X
2025-10-25,150 INR,AMAZON - Amazon office supplies Payment 61TYJA
2025-10-10,794 INR,KFC - KFC meal MUM
2025-03-04,112 INR,SBI - SBI service charge AHM
2025-10-19,327 INR,NETFLIX - Netflix subscription Ref BO6659HAOJ
2025-10-11,"₹13,276",META ADS - Meta ads spend
2025-09-27,₹996,ADOBE - Adobe subscription POS/AI0OQ0
2025-05-04,"4,170",FLIPKART - Flipkart office supplies Ref T4LHBALHJH
2025-04-16,"₹2,274",NOTION - Notion subscription POS/INDFPH
2025-11-07,"8,382",GOOGLE CLOUD - Google Cloud billing AHM
2025-09-29,"2,482",NEFT - NEFT transfer POS/A7TMDS
2025-10-02,₹599,GITHUB - GitHub subscription MUM
2025-01-22,"₹1,997",NOTION - Notion subscription UPI/WLWM5J
2025-11-25,"1,028",NOTION - Notion subscription Payment 9Z6NSM
2025-01-09,₹50,UBER - Uber trip POS/T8S7I5
2025-01-05,278 INR,UBER - Uber trip AHM
2025-10-17,64,ICICI - ICICI bank fee Txn MDV107M4SQ86
2025-03-09,"₹2,782.25",WATER - Water bill
2025-06-30,619,NETFLIX - Netflix subscription ONLINE/QFY2B7
2025-07-13,"₹3,967.97",AMAZON - Amazon office supplies AHM
2025-09-02,₹50,OLA - Ola ride UPI/KQKEZN
2025-12-07,₹182,STARBUCKS - Starbucks coffee ONLINE/RZSUZP
2025-10-07,₹841,SLACK - Slack subscription ONLINE/DBSQH2
2025-10-23,"2,065",SLACK - Slack subscription BLR
2025-10-30,"₹6,195",LEGAL - Legal services Payment CEIAJX
2025-01-22,513 INR,ZOMATO - Zomato food order AHM
2025-03-30,"₹1,036.06",ELECTRICITY - Electricity bill ONLINE/9FB4TD
2025-03-17,229,UBER - Uber trip AHM
2025-03-07,987 INR,BIGBASKET - BigBasket groceries UPI/FLVTQQ
2025-06-08,315 INR,KFC - KFC meal Payment 355HSS
2025-12-25,"₹2,582",MICROSOFT - Microsoft 365 Ref 03VM1U0MRU
2025-11-30,514,STARBUCKS - Starbucks coffee
2025-01-22,"1,418",BIGBASKET - BigBasket groceries AHM
2025-08-05,"2,761 INR",JIO - Jio fiber bill Txn 80PZY037GBUH
2025-12-31,"₹1,002",NOTION - Notion subscription UPI/WJBD48
2025-05-29,"2,541 INR",ZOOM - Zoom subscription ONLINE/2GS4LC
2025-03-28,"₹20,776",AWS - AWS cloud charges BLR
2025-10-15,"1,708",AIRTEL - Airtel broadband bill AHM
2025-09-13,₹50,OLA - Ola ride MUM
2025-12-19,413,ATLASSIAN - Atlassian Jira Ref 91PLAYYBGR
2025-07-31,"2,792 INR",AMAZON - Amazon office supplies
2025-04-05,"₹1,217",IRCTC - IRCTC train booking Payment W4SPI0
2025-09-04,₹200,ZOOM - Zoom subscription
2025-04-06,"2,726.68",ZOOM - Zoom subscription Txn O1S9KT9EZ29G
2025-07-12,80 INR,STARBUCKS - Starbucks coffee AHM
2025-07-13,"₹11,865",MAKEMYTRIP - MakeMyTrip booking MUM
2025-05-11,"3,056 INR",AIRTEL - Airtel broadband bill MUM
2025-07-31,"2,939.30",JIO - Jio fiber bill DEL
2025-06-22,"2,702",AIRTEL - Airtel broadband bill BLR
2025-02-21,₹781,STARBUCKS - Starbucks coffee Payment ML948U
2025-07-19,"₹9,248.36",AWS - AWS cloud charges AHM
2025-01-26,637,WATER - Water bill ONLINE/NZAF9K
2025-09-25,₹527,BIGBASKET - BigBasket groceries POS/PP9CWN
2025-09-24,696,SWIGGY - Swiggy food order AHM
2025-08-18,₹456,NETFLIX - Netflix subscription ONLINE/29RJJ5
2025-12-21,788,IRCTC - IRCTC train booking DEL
2025-11-13,"1,164.60",IRCTC - IRCTC train booking UPI/JL0TI4
2025-05-20,"₹2,085",SLACK - Slack subscription POS/1BOM17
2025-09-26,"1,030 INR",RELIANCE FRESH - Reliance Fresh groceries ONLINE/0JSCTO
2025-04-28,₹577,SWIGGY - Swiggy food order POS/UCF6WX
2025-12-14,"₹7,583.25",GOIBIBO - Goibibo booking MUM
2025-10-06,"2,648",WATER - Water bill Payment 0WXLL5
2025-12-19,₹500,META ADS - Meta ads spend Ref RE93U62ER6
2025-10-13,176,DOMINOS - Dominos pizza AHM
2025-04-20,"9,488.74",AWS - AWS cloud charges UPI/GWMQEB
2025-02-16,217,DOMINOS - Dominos pizza Txn 3Y0SPWQIGBU9
2025-01-07,486 INR,OLA - Ola ride DEL
2025-05-18,"2,000 INR",JIO - Jio fiber bill Payment 0LLQIX
2025-08-24,₹150,FLIPKART - Flipkart office supplies Ref E5KN0W0BRN
2025-05-12,"4,181.56 INR",JIO - Jio fiber bill ONLINE/J6NS39
2025-10-19,"₹11,800",INDIGO - IndiGo flight Payment UWY9ZW
2025-10-10,468,SLACK - Slack subscription MUM
2025-09-08,492 INR,STARBUCKS - Starbucks coffee UPI/1KVLDH
2025-10-31,₹970,DMART - DMart groceries POS/GHJLZ2
2025-10-05,80,SWIGGY - Swiggy food order
2025-01-18,"₹2,746",VISTARA - Vistara flight BLR
2025-12-12,"₹5,526.75",AWS - AWS cloud charges
2025-03-11,"3,196",AIRTEL - Airtel broadband bill UPI/I46JI5
2025-01-30,"15,912",GOOGLE ADS - Google ads spend Payment 9V73PU
2025-04-28,₹500,AWS - AWS cloud charges POS/6T8RBA
2025-01-29,"₹11,642",INDIGO - IndiGo flight AHM
2025-09-28,₹346,ZOMATO - Zomato food order MUM
2025-05-15,"6,878.74 INR",LEGAL - Legal services POS/3A27F5
2025-12-30,"11,618",GOOGLE CLOUD - Google Cloud billing AHM
2025-06-21,"2,045.84",BIGBASKET - BigBasket groceries POS/N23T8A
2025-03-26,"6,634 INR",UPI - UPI transfer Payment 4HN6MG
2025-04-29,"₹1,362",MICROSOFT - Microsoft 365 Payment V1OKMD
2025-05-30,"7,300 INR",FREELANCER - Freelance services UPI/3SBKP1
2025-10-22,"6,473 INR",META ADS - Meta ads spend MUM
2025-12-05,677,ADOBE - Adobe subscription Ref EKVIPATZ7B
2025-12-15,"2,182",MICROSOFT - Microsoft 365 Payment VX3NY6
2025-12-06,192,OLA - Ola ride Payment X4YEI2
2025-07-14,"1,439.19",SLACK - Slack subscription Ref HDIJWPY51F
2025-11-23,₹241,UBER - Uber trip Ref SFJDBE2X8I
2025-07-27,₹500,GOOGLE ADS - Google ads spend ONLINE/MYZKVF
2025-11-02,397 INR,ZOMATO - Zomato food order MUM
2025-10-06,399.78,SWIGGY - Swiggy food order BLR
2025-01-18,"₹1,879",RELIANCE FRESH - Reliance Fresh groceries UPI/UK2AJH
2025-02-25,366,ATLASSIAN - Atlassian Jira Payment FKXM9P
2025-08-08,50,NEFT - NEFT transfer AHM
2025-10-07,"7,363 INR",GOOGLE ADS - Google ads spend Ref 5IBGG2TGG4
2025-01-25,"1,297 INR",BIGBASKET - BigBasket groceries POS/VP8FKQ
2025-06-24,"₹4,583.50",VISTARA - Vistara flight
2025-04-24,"₹12,959",INDIGO - IndiGo flight Payment QGPD50
2025-01-26,"2,593.37 INR",MICROSOFT - Microsoft 365 MUM
2025-08-21,"₹11,695",NEFT - NEFT transfer Payment FF0GO3
2025-10-02,948,IRCTC - IRCTC train booking Payment 6R5FL4
2025-07-06,"₹2,231",AIRTEL - Airtel broadband bill MUM
2025-02-06,₹200,ATLASSIAN - Atlassian Jira
2025-06-17,200 INR,GAS - Gas bill AHM
2025-06-22,"₹2,444",ADOBE - Adobe subscription Ref MP391S8131
2025-08-02,"11,709",UPI - UPI transfer DEL
2025-05-26,₹150,FLIPKART - Flipkart office supplies ONLINE/ESV2FK
2025-11-09,"₹5,493",AWS - AWS cloud charges POS/270A0W
2025-10-30,"2,585",GOIBIBO - Goibibo booking ONLINE/V662K6
2025-12-06,470 INR,DMART - DMart groceries UPI/M3NVYX
2025-10-23,"3,149 INR",AIRTEL - Airtel broadband bill Txn ELGVD3OH640I
2025-04-11,"3,645",GOOGLE ADS - Google ads spend ONLINE/40E1JJ
2025-02-07,"₹1,597",DMART - DMart groceries Payment PP40EE
2025-11-18,"3,057",MAKEMYTRIP - MakeMyTrip booking Txn 8HH41QKIIE80
2025-08-25,"1,157 INR",DMART - DMart groceries POS/TRQ36M
2025-05-06,195,ICICI - ICICI bank fee Txn 6XJ3ANQ6V097
2025-01-16,₹135,HDFC - HDFC bank charge Payment ZRD5D7
2025-02-11,₹935,GITHUB - GitHub subscription ONLINE/6JD1BP
2025-02-03,50,IMPS - IMPS transfer Txn WU1VB1H8TOF1
2025-03-11,₹239,STARBUCKS - Starbucks coffee Txn HZGIRICKWLKW
2025-01-30,"2,840 INR",FLIPKART - Flipkart office supplies MUM
2025-11-25,₹50,UBER - Uber trip AHM
2025-06-03,"₹25,320.98",META ADS - Meta ads spend Ref 2KRYNLAF0P
2025-04-09,863,DOMINOS - Dominos pizza MUM
2025-04-03,"1,543.84",RELIANCE FRESH - Reliance Fresh groceries MUM
2025-04-05,"₹1,763",ATLASSIAN - Atlassian Jira DEL
2025-04-27,786 INR,WATER - Water bill Ref 67U29X5LAL
2025-06-13,"6,910",FLIPKART - Flipkart office supplies ONLINE/6FFJL7
2025-05-10,"1,451",ATLASSIAN - Atlassian Jira Payment JEP9SV
2025-11-16,"6,858",UPI - UPI transfer POS/VI73ML
2025-03-30,₹243,OLA - Ola ride Payment 54BG5C
2025-07-02,"2,220 INR",AIRTEL - Airtel broadband bill DEL
2025-03-11,₹896,JIO - Jio fiber bill Payment W2EKPD
2025-03-16,554 INR,NETFLIX - Netflix subscription Ref JQB5ON46OT
2025-11-14,491,NETFLIX - Netflix subscription MUM
2025-08-05,"1,983",DMART - DMart groceries ONLINE/NVELHI
2025-01-30,₹982,WATER - Water bill MUM
2025-04-21,620,KFC - KFC meal
2025-09-30,913,MICROSOFT - Microsoft 365 UPI/FJALJZ
2025-02-03,155 INR,ICICI - ICICI bank fee
2025-12-03,"₹1,234",NOTION - Notion subscription Txn SWW58UEF5HWG
2025-04-25,₹173,OLA - Ola ride ONLINE/R5RSB3
2025-03-31,376 INR,STARBUCKS - Starbucks coffee BLR
2025-11-11,"8,401",UPI - UPI transfer BLR
2025-11-08,"6,729",GOOGLE CLOUD - Google Cloud billing Txn MPCBHBXFLOUW
2025-08-25,126,SBI - SBI service charge POS/QLJHU5
2025-02-10,"2,599",UPI - UPI transfer POS/M63YWC
2025-03-04,"2,600",AMAZON - Amazon office supplies
2025-08-12,"21,242.48",AWS - AWS cloud charges ONLINE/R9NAPD
2025-09-27,"2,546",NOTION - Notion subscription UPI/0G58JL
2025-05-31,"₹21,516",META ADS - Meta ads spend DEL
2025-12-01,"₹10,165.43",GOOGLE ADS - Google ads spend MUM
2025-03-20,"1,119 INR",FLIPKART - Flipkart office supplies Payment CH1SIX
2025-12-18,₹398,SWIGGY - Swiggy food order POS/8J72OY
2025-11-30,453,ZOMATO - Zomato food order
2025-07-11,₹135.57,SWIGGY - Swiggy food order AHM
2025-07-28,"6,903",MAKEMYTRIP - MakeMyTrip booking MUM
2025-12-06,"3,339",AIRTEL - Airtel broadband bill ONLINE/IU4XOA
2025-04-23,₹325,SWIGGY - Swiggy food order Ref 0FG6BPZO9S
2025-05-10,"₹13,821",META ADS - Meta ads spend Txn G8ON5EQCBZ45
2025-11-21,₹285,UBER - Uber trip POS/VVF70U
2025-11-03,250,AIRTEL - Airtel broadband bill DEL
2025-10-05,87,ICICI - ICICI bank fee
2025-04-07,"₹14,895",GOOGLE ADS - Google ads spend Payment FROC90
2025-09-17,₹717,IRCTC - IRCTC train booking POS/7HZLQE
2025-02-28,₹784,DOMINOS - Dominos pizza MUM
2025-03-11,"₹1,765",BIGBASKET - BigBasket groceries POS/OT2YPZ
2025-12-28,"2,159",NOTION - Notion subscription Payment E98NFX
2025-06-20,200,MICROSOFT - Microsoft 365
2025-07-01,253,UBER - Uber trip
2025-07-12,"1,429.95",ATLASSIAN - Atlassian Jira ONLINE/HF0AI1
2025-10-12,727 INR,WATER - Water bill Ref 9H139F9TXM
2025-06-28,"5,268 INR",AMAZON - Amazon office supplies MUM
2025-11-24,"₹2,585",GOOGLE CLOUD - Google Cloud billing Ref 4RCFLDAI23
2025-03-24,₹334,IRCTC - IRCTC train booking AHM
2025-11-12,50,UBER - Uber trip UPI/WXZO4E
2025-02-11,113 INR,DOMINOS - Dominos pizza AHM
2025-09-04,"15,408.24 INR",GOOGLE CLOUD - Google Cloud billing POS/4TLWFO
2025-02-26,"2,305 INR",JIO - Jio fiber bill Payment VL9YH8
2025-11-04,₹397,ZOMATO - Zomato food order UPI/TIA2MC
2025-03-02,₹380,GAS - Gas bill ONLINE/AC15DI
2025-03-06,221,UBER - Uber trip DEL
2025-06-30,"₹2,081",RELIANCE FRESH - Reliance Fresh groceries BLR
2025-10-29,₹291,HDFC - HDFC bank charge MUM
2025-03-22,410,JIO - Jio fiber bill BLR
2025-12-06,657 INR,AMAZON - Amazon office supplies Txn OQC5CQQA2ZUV
2025-04-07,"₹1,755",ATLASSIAN - Atlassian Jira Txn O9KWMOGYNIOL
2025-12-01,"₹1,329",ZOOM - Zoom subscription Payment AVD2XN
2025-07-11,"8,531",GOIBIBO - Goibibo booking UPI/01AAGI
2025-04-07,"3,592",ADOBE - Adobe subscription
2025-03-08,"₹7,386",FREELANCER - Freelance services Payment KJTI0E
2025-06-18,"2,947",MICROSOFT - Microsoft 365 DEL
2025-04-15,₹245,UBER - Uber trip
2025-08-12,"2,813",AMAZON - Amazon office supplies Ref XARTR2BNLK
2025-07-28,"9,624",GOIBIBO - Goibibo booking UPI/Y7V62C
2025-11-03,"2,028",DMART - DMart groceries DEL
2025-07-28,"13,830",INDIGO - IndiGo flight DEL
2025-05-07,"2,107 INR",BIGBASKET - BigBasket groceries Payment S50NZJ
2025-03-15,454 INR,ADOBE - Adobe subscription Ref 78DF9SSEQ7
2025-02-10,"₹4,548.08",INDIGO - IndiGo flight Ref 572MPORGJ5
2025-11-14,"₹1,819",AMAZON - Amazon office supplies Txn LVRO62C9J12P
2025-09-30,"1,664",BIGBASKET - BigBasket groceries DEL
2025-12-31,723.57 INR,ADOBE - Adobe subscription ONLINE/1DDT8Y
2025-02-14,"₹2,367",AWS - AWS cloud charges Txn EEI9YRJW8MM5
2025-12-04,"1,200",VISTARA - Vistara flight DEL
2025-04-18,200,RELIANCE FRESH - Reliance Fresh groceries ONLINE/BSYQYE
2025-06-03,"1,273",ATLASSIAN - Atlassian Jira
2025-05-11,483,NETFLIX - Netflix subscription BLR
2025-11-15,357,KFC - KFC meal Ref 5GISE6JN59
2025-07-19,768,KFC - KFC meal ONLINE/EMJ9PJ
2025-02-18,₹305,OLA - Ola ride BLR
2025-05-24,"26,533 INR",GOOGLE ADS - Google ads spend Txn LX0P851P28XA
2025-08-21,"₹7,407",GOOGLE CLOUD - Google Cloud billing
2025-11-30,"₹9,557",UPI - UPI transfer DEL
2025-03-09,52,HDFC - HDFC bank charge BLR
2025-10-13,"18,953",CA CONSULT - CA consultation
2025-10-31,"₹2,550",AIRTEL - Airtel broadband bill POS/PR2FJL
2025-03-28,608 INR,STARBUCKS - Starbucks coffee ONLINE/76II7Y
2025-07-06,381.28,NOTION - Notion subscription AHM
2025-04-10,150,AMAZON - Amazon office supplies Txn V82CP0YQ18G7
2025-12-22,₹235,SWIGGY - Swiggy food order Ref LLYQ5RNBPZ
2025-05-03,200,RELIANCE FRESH - Reliance Fresh groceries POS/BV6I2X
2025-03-25,₹202.07,ICICI - ICICI bank fee
2025-10-31,764,DOMINOS - Dominos pizza POS/2IYTPW
2025-06-30,50 INR,IMPS - IMPS transfer MUM
2025-01-17,"13,802",VISTARA - Vistara flight Txn HP95GN3E9V68
2025-02-04,"₹4,229",IMPS - IMPS transfer ONLINE/VJWH9M
2025-09-23,"₹6,771",FREELANCER - Freelance services Txn ZJWPISDUB7T1
2025-05-02,491,NETFLIX - Netflix subscription AHM
2025-09-14,"3,264",ZOOM - Zoom subscription Txn K9JGEILOZEV9
2025-05-12,"₹1,166",IRCTC - IRCTC train booking DEL
2025-01-12,"9,284",LEGAL - Legal services POS/T3E9VA
2025-05-20,782 INR,KFC - KFC meal Txn F4S7YS7W073P
2025-11-05,"2,699",JIO - Jio fiber bill MUM
2025-09-10,"1,985 INR",SLACK - Slack subscription UPI/0ZTUG8
2025-05-29,"5,768",VISTARA - Vistara flight Ref JYZML5MN7D
2025-07-08,₹189,HDFC - HDFC bank charge Ref TLGYLPZNFF
2025-05-25,912 INR,ZOOM - Zoom subscription MUM
2025-03-11,"₹7,510",GOIBIBO - Goibibo booking ONLINE/5LFGRA
2025-10-16,230 INR,ZOMATO - Zomato food order AHM
2025-10-10,"1,336",ZOOM - Zoom subscription DEL
2025-08-22,₹50,IMPS - IMPS transfer MUM
2025-12-09,"₹1,629",MICROSOFT - Microsoft 365 MUM
2025-08-20,"1,042 INR",DMART - DMart groceries BLR
2025-04-20,"4,419",META ADS - Meta ads spend UPI/0DYSGP
2025-11-05,474.35,KFC - KFC meal UPI/GCYWF0
2025-01-13,"₹5,428",GOIBIBO - Goibibo booking BLR
2025-07-29,"₹1,640",GOOGLE ADS - Google ads spend Ref K2Q1YJUCYY
2025-11-17,500 INR,AWS - AWS cloud charges Ref Q93YPGUTH1
2025-01-18,"₹2,850",AMAZON - Amazon office supplies DEL
2025-10-12,"8,095 INR",UPI - UPI transfer UPI/U2X6O5
2025-09-12,"₹5,926",FREELANCER - Freelance services MUM
2025-10-09,₹807.32,IRCTC - IRCTC train booking POS/75UHNA
2025-05-31,"3,408",JIO - Jio fiber bill Ref QSYQQTL5AK
2025-11-26,"₹8,684",MAKEMYTRIP - MakeMyTrip booking Ref IMQZ300WZM
2025-06-27,389 INR,SPOTIFY - Spotify subscription DEL
2025-05-23,"10,770",IMPS - IMPS transfer UPI/IKJ1DR
2025-01-11,"1,733.10 INR",ADOBE - Adobe subscription UPI/OY7WPG
2025-08-07,"₹1,297",BIGBASKET - BigBasket groceries
2025-05-03,"9,461 INR",INDIGO - IndiGo flight Ref YCH0AF3LFL
2025-10-27,822,ATLASSIAN - Atlassian Jira MUM
2025-08-08,99 INR,SPOTIFY - Spotify subscription MUM
2025-08-14,"1,577",SLACK - Slack subscription ONLINE/7B42LD
2025-03-19,"₹1,307",GITHUB - GitHub subscription POS/73YSKH
2025-04-15,50 INR,IMPS - IMPS transfer BLR
2025-05-23,₹109,HDFC - HDFC bank charge ONLINE/LYDISZ
2025-01-04,₹407.67,NETFLIX - Netflix subscription DEL
2025-10-19,"6,155",LEGAL - Legal services MUM
2025-05-26,"1,669",GITHUB - GitHub subscription Txn 6SQKAH4VJ8YY
2025-08-14,50,NEFT - NEFT transfer AHM
2025-06-19,"₹3,360.06",ELECTRICITY - Electricity bill BLR
2025-12-20,18 INR,ICICI - ICICI bank fee
2025-06-23,₹208.19,UBER - Uber trip
2025-02-18,"₹4,830",AMAZON - Amazon office supplies AHM
2025-11-20,"₹3,191",FREELANCER - Freelance services DEL
2025-08-20,"1,809",UPI - UPI transfer MUM
2025-04-08,"7,041.74",FREELANCER - Freelance services AHM
2025-07-04,"15,432",META ADS - Meta ads spend Ref GLZJMPQGDK
2025-07-14,₹145,SBI - SBI service charge Txn BXS8RWGOSGJE
2025-08-30,229,ZOMATO - Zomato food order
2025-07-05,636 INR,IRCTC - IRCTC train booking POS/2RRB8S
2025-06-05,52,ICICI - ICICI bank fee POS/JXSMFK
2025-02-14,₹50,UBER - Uber trip UPI/61HCM3
2025-12-22,₹572,IRCTC - IRCTC train booking UPI/E2Q2D8
2025-02-11,₹846,ADOBE - Adobe subscription ONLINE/1FM7G5
2025-01-10,₹177,DOMINOS - Dominos pizza DEL
2025-09-22,₹666,DOMINOS - Dominos pizza AHM
2025-03-03,"₹3,564",NOTION - Notion subscription AHM
2025-11-02,"3,793",MAKEMYTRIP - MakeMyTrip booking POS/G5DWV6
2025-08-09,"1,871.08",AIRTEL - Airtel broadband bill
2025-04-02,150,FLIPKART - Flipkart office supplies Txn A36P2VON2FR5
2025-07-01,"₹7,473",AWS - AWS cloud charges MUM
2025-02-26,"1,912",SLACK - Slack subscription Ref 83KKOFBDN2
2025-10-04,"2,405 INR",VISTARA - Vistara flight ONLINE/7MY6XL
2025-06-21,₹80,DOMINOS - Dominos pizza DEL
2025-07-17,"₹2,677.63",AIRTEL - Airtel broadband bill BLR
2025-11-18,"1,200",MAKEMYTRIP - MakeMyTrip booking AHM
2025-02-11,₹225,OLA - Ola ride DEL
2025-03-04,560 INR,STARBUCKS - Starbucks coffee MUM
2025-09-03,"₹15,151",INDIGO - IndiGo flight Ref Z0ND6R3BFK
2025-07-16,"3,502 INR",ZOOM - Zoom subscription AHM
2025-07-15,"14,649",VISTARA - Vistara flight ONLINE/QC4E4X
2025-01-17,"1,827.74 INR",GITHUB - GitHub subscription POS/RJS89F
2025-05-09,50,NEFT - NEFT transfer Payment STJQEN
2025-08-02,₹200,WATER - Water bill BLR
2025-05-28,₹308,NETFLIX - Netflix subscription POS/STV3CI
2025-11-11,"₹4,812",AWS - AWS cloud charges MUM
2025-12-08,"1,545 INR",BIGBASKET - BigBasket groceries AHM
2025-03-23,"9,126.13",GOOGLE CLOUD - Google Cloud billing UPI/T5W7CL
2025-11-23,569,ADOBE - Adobe subscription Payment H0SQUS
2025-07-19,"1,184.14 INR",MICROSOFT - Microsoft 365 POS/K0N3YU
2025-08-08,"8,783 INR",UPI - UPI transfer
2025-07-25,"₹9,228",LEGAL - Legal services DEL
2025-06-15,"8,533",GOIBIBO - Goibibo booking BLR
2025-10-25,269,DOMINOS - Dominos pizza ONLINE/1DABWG
2025-03-15,297 INR,HDFC - HDFC bank charge Txn IGMMIHHJ4TVW
2025-09-09,"3,176 INR",FLIPKART - Flipkart office supplies UPI/S0UXWN
2025-02-14,₹708,ATLASSIAN - Atlassian Jira UPI/EFC5TM
2025-06-27,"₹2,065",SLACK - Slack subscription AHM
2025-01-03,"₹17,343",AWS - AWS cloud charges
2025-08-19,₹500,CA CONSULT - CA consultation Ref V2P0ZID5A4
2025-07-30,"3,615",JIO - Jio fiber bill UPI/AG991K
2025-01-04,803.37,ATLASSIAN - Atlassian Jira
2025-12-23,"1,273",ADOBE - Adobe subscription MUM
2025-11-20,"₹1,378",FLIPKART - Flipkart office supplies MUM
2025-09-19,500 INR,LEGAL - Legal services Txn 2OPTFG2O9FMK
2025-06-29,₹210,SBI - SBI service charge MUM
2025-01-22,"1,025",IRCTC - IRCTC train booking Txn PRKFWJ8DAX15
2025-03-25,"₹1,152",ELECTRICITY - Electricity bill ONLINE/NPN728
2025-11-09,₹350.07,UBER - Uber trip Ref F2FPZ0HEYZ
2025-02-09,591 INR,NETFLIX - Netflix subscription POS/16CZEO
2025-01-05,263,ICICI - ICICI bank fee BLR
2025-03-08,"₹1,962",AIRTEL - Airtel broadband bill DEL
2025-11-23,"1,815 INR",ADOBE - Adobe subscription UPI/IPPD71
2025-07-18,"1,589 INR",GAS - Gas bill Txn NKGXKQ6NTHMS
2025-04-01,50,IMPS - IMPS transfer Txn 34XX4TS3MGVV
2025-12-15,648 INR,SWIGGY - Swiggy food order DEL
2025-04-24,₹832,BIGBASKET - BigBasket groceries UPI/9XC29Y
2025-08-31,"3,694 INR",IMPS - IMPS transfer Txn E4L0S6745UGS
2025-06-25,"2,011",JIO - Jio fiber bill UPI/MS6AI1
2025-11-11,48.52 INR,HDFC - HDFC bank charge BLR
2025-05-28,"₹2,832",LEGAL - Legal services POS/ZCPBDT
2025-05-08,"1,628 INR",SLACK - Slack subscription Payment BVHCNU
2025-08-14,"1,748",WATER - Water bill
2025-07-01,"₹1,536",RELIANCE FRESH - Reliance Fresh groceries Txn I9YMQD3YU2C5
2025-09-17,"2,763",ZOOM - Zoom subscription
2025-07-22,198,OLA - Ola ride POS/BFIPQV
2025-02-15,"18,771 INR",META ADS - Meta ads spend POS/X9SLSV
2025-10-08,"1,773 INR",ZOOM - Zoom subscription Ref O50KOJ4L17
2025-07-29,"13,272",GOOGLE ADS - Google ads spend Payment 4FDEPC
2025-08-18,"1,069.05 INR",WATER - Water bill Ref 4Z2FACPT57
2025-03-26,"1,414",WATER - Water bill POS/X3ND7S
2025-08-18,₹50,OLA - Ola ride UPI/BE1VJA
2025-09-18,508,KFC - KFC meal Payment V8TXBR
2025-12-17,608.97,BIGBASKET - BigBasket groceries ONLINE/9S1R8V
2025-11-18,"2,346",ATLASSIAN - Atlassian Jira AHM
2025-09-21,"1,926 INR",ATLASSIAN - Atlassian Jira Payment A7S4G5
2025-07-19,"1,259 INR",MICROSOFT - Microsoft 365 Txn O1TRL0PSEX2V
2025-06-03,540,SPOTIFY - Spotify subscription BLR
2025-12-31,"₹3,065",JIO - Jio fiber bill MUM
2025-06-15,494,STARBUCKS - Starbucks coffee Ref JYQ7EY3TPE
2025-09-06,50,UBER - Uber trip POS/SB4RYT
2025-08-08,"2,528",JIO - Jio fiber bill ONLINE/AE90I2
2025-02-11,592,DMART - DMart groceries Payment 4Q5ANL
2025-05-09,358 INR,SPOTIFY - Spotify subscription Ref J9UI8NNPVG
2025-05-05,501,ZOMATO - Zomato food order ONLINE/XG57T2
2025-03-28,741,SWIGGY - Swiggy food order UPI/K93S3O
2025-01-24,"10,574 INR",INDIGO - IndiGo flight Txn 38W2ZDA9QLHX
2025-04-15,295 INR,WATER - Water bill UPI/M0K1Y4
2025-10-28,"8,567 INR",INDIGO - IndiGo flight ONLINE/N7D1H4
2025-08-31,₹276,ZOMATO - Zomato food order BLR
2025-09-06,"2,928",AIRTEL - Airtel broadband bill AHM
2025-03-16,"₹1,388",AMAZON - Amazon office supplies Ref LOIMSEECUO
2025-06-27,₹200,BIGBASKET - BigBasket groceries Ref 742DY3X7V5
2025-01-26,"2,254 INR",AIRTEL - Airtel broadband bill Txn JZOY08WPBFO8
2025-05-12,273,SBI - SBI service charge
2025-02-04,"₹8,793",GOIBIBO - Goibibo booking MUM
2025-08-05,"2,879",DMART - DMart groceries AHM
2025-04-19,"₹4,742",JIO - Jio fiber bill
2025-06-13,"₹10,618",META ADS - Meta ads spend POS/H08BFZ
2025-01-22,"₹2,054",NEFT - NEFT transfer Ref CCLINTTI90
2025-10-27,50,NEFT - NEFT transfer POS/8285ZG
2025-06-08,"18,875 INR",GOOGLE ADS - Google ads spend AHM
2025-01-02,"21,814.36",META ADS - Meta ads spend Txn GE64P7B7M1Y7
2025-01-02,216,ICICI - ICICI bank fee MUM
2025-05-24,"₹1,054",AMAZON - Amazon office supplies Payment 7K4K1W
2025-12-03,80,STARBUCKS - Starbucks coffee UPI/OKBDWL
2025-03-10,"₹5,721",UPI - UPI transfer AHM
2025-01-09,"₹1,609",RELIANCE FRESH - Reliance Fresh groceries Txn 5U4ZODCZ4TSR
2025-04-24,₹50,UPI - UPI transfer Txn 7957K4VB2QKH
